Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2015,21,111,108000,82906,0.04,1.2914,0.8,PT01,2,7,3,39,5
2015,21,111,209000,135338,0.04,2.1081,0.45,PT01,2,5,1,68,4
2015,21,111,168000,100448,0.0325,1.5646,0.68,PT01,2,5,1,70,5
2015,21,117,75000,47101,0.0413,0.6625,0.6,PT01,2,5,2,40,5
2015,21,29,152000,59683,0.04,0.9296,0.8,PT01,2,5,1,49,5
2015,21,15,417000,193485,0.0388,2.7213,0.93,PT01,2,5,1,46,5
2015,21,117,117000,118699,0.0388,1.6695,0.78,PT06,2,5,1,69,5
2015,21,117,104000,32579,0.0388,0.4582,0.8,PT01,2,5,2,28,5
2015,21,37,365750,148990,0.04,2.0955,0.95,PT01,2,5,1,30,5
2015,21,151,171000,88608,0.0388,1.9305,0.9,PT01,2,5,1,38,5
2015,21,67,109250,38438,0.04,0.5669,0.95,PT01,2,5,1,30,4
2015,21,67,90000,41004,0.0375,0.6048,0.52,PT01,2,5,1,63,5
2015,21,117,180000,78319,0.0388,1.1015,0.8,PT06,1,5,2,35,3
2015,21,211,136828,142144,0.04,2.2141,0.8,PT01,2,5,1,69,5
2015,21,179,192950,69755,0.04,1.5197,0.85,PT01,2,5,1,44,5
2015,47,37,220000,83602,0.0425,1.2744,0.8,PT01,2,5,1,65,5
2015,21,111,75000,38052,0.0388,0.5927,0.49,PT02,2,5,2,57,5
2015,47,179,197600,74880,0.04,1.4596,0.95,PT01,2,5,2,29,4
2015,21,111,56000,55000,0.0325,0.8567,0.8,PT01,2,5,1,26,3
2015,21,21,125920,26860,0.04,0.5852,0.8,PT01,1,5,2,31,4
2015,21,111,125500,119218,0.0325,1.857,0.39,PT01,2,7,3,49,4
2015,21,37,90000,120654,0.0325,1.6969999999999998,0.4,PT01,2,5,1,54,5
2015,21,37,32800,41452,0.0325,0.583,0.8,PT01,2,5,2,59,5
2015,21,117,125000,134580,0.0325,1.8928,0.72,PT01,2,7,3,42,5
2015,21,15,46400,58596,0.0325,0.8241,0.8,PT06,2,5,2,28,5
2015,21,117,156750,224412,0.0325,3.1563,0.8,PT01,2,5,1,54,5
2015,21,15,171500,166609,0.0325,2.3433,0.88,PT01,2,5,1,26,4
2015,21,49,236200,120000,0.03,1.7699,0.75,PT01,2,5,2,39,5
2015,21,67,133000,73932,0.0388,1.0904,0.95,PT01,1,5,1,28,4
2015,21,117,72000,24710,0.04,0.3475,0.8,PT01,1,5,1,23,4
2015,21,117,128000,59652,0.0375,0.8390000000000001,0.8,PT01,2,5,2,33,5
2015,21,67,116350,42996,0.0375,0.6342,0.95,PT01,1,5,1,27,4
2015,21,67,231200,145512,0.0375,2.1462,0.85,PT02,2,5,2,37,5
2015,21,117,109200,43164,0.0388,0.6071,0.8,PT01,1,5,1,30,5
2015,21,209,169500,59208,0.0375,0.8733,0.8,PT02,2,5,1,37,5
2015,21,181,204250,109296,0.04,2.3812,0.95,PT01,2,5,1,34,4
2015,21,67,123500,71400,0.0388,1.0531,0.95,PT01,2,5,1,51,5
2015,21,67,135000,84240,0.0375,1.2425,0.9,PT01,1,5,2,32,4
2015,21,89,68000,55702,0.04,1.057,0.8,PT01,2,5,1,28,5
2015,21,37,114800,97969,0.0388,1.3779,0.8,PT01,1,5,2,25,5
2015,21,211,92940,185000,0.04,2.8816,0.8,PT01,2,5,1,38,5
2015,21,101,204000,49872,0.0375,0.7842,0.8,PT01,2,5,1,39,5
2015,21,101,143200,126948,0.0375,1.996,0.8,PT01,2,5,1,59,4
2015,21,21,146930,51459,0.04,1.1211,0.59,PT01,1,5,1,35,5
2015,47,37,295200,117996,0.0375,1.7987,0.9,PT01,1,5,1,27,3
2015,21,117,35000,48564,0.04,0.6829999999999999,0.67,PT06,1,5,1,26,5
2015,21,15,267400,124794,0.0388,1.7552,0.95,PT02,2,5,1,37,5
2015,21,113,299200,185100,0.0388,2.7301,0.95,PT01,2,5,1,44,4
2015,21,117,72000,59472,0.0388,0.8365,0.49,PT01,2,5,1,45,5
2015,21,117,230400,114729,0.04,1.6136,0.9,PT01,2,5,1,38,5
2015,21,113,279000,90000,0.0375,1.3274,0.9,PT02,2,5,1,33,5
2015,21,15,108000,49812,0.0375,0.7006,0.8,PT01,2,5,1,33,4
2015,21,37,34850,75720,0.0375,1.065,0.75,PT06,2,5,1,56,3
2015,47,163,239920,121098,0.04,2.3932,0.8,PT01,2,5,1,33,5
2015,21,15,92000,37884,0.0375,0.5328,0.8,PT01,1,5,1,27,4
2015,21,113,142320,63240,0.0388,0.9327,0.8,PT01,2,5,1,26,4
2015,21,67,102000,57720,0.0375,0.8513,0.8,PT01,1,5,1,28,5
2015,21,15,350400,131212,0.0375,1.8455,0.8,PT02,2,5,1,46,5
2015,21,73,94000,54000,0.04,1.1765,0.8,PT01,1,5,2,29,5
2015,21,19,137750,89636,0.0388,1.7009,0.95,PT01,2,5,2,37,4
2015,21,117,206336,81429,0.035,1.1453,0.74,PT01,1,5,1,55,3
2015,21,163,207000,71123,0.0388,1.2434,0.75,PT01,2,5,1,63,5
2015,21,89,71450,64855,0.0375,1.2306,0.68,PT01,2,5,1,68,5
2015,47,187,300000,62577,0.035,0.9539,0.54,PT01,2,5,2,78,5
2015,21,19,76960,57024,0.0388,1.082,0.8,PT01,2,5,1,27,3
2015,21,111,186400,133560,0.04,2.0804,0.8,PT01,2,3,2,40,5
2015,21,67,238836,275788,0.0275,4.0677,0.8,PT01,2,5,1,62,4
2015,47,157,235900,167016,0.0363,2.7929,0.78,PT01,2,5,1,28,5
2015,21,101,124000,85713,0.035,1.3477,0.8,PT01,2,5,1,47,5
2015,21,211,176498,48435,0.04,0.7544,0.95,PT01,2,5,1,29,5
2015,21,67,308800,144701,0.0375,2.1342,0.8,PT01,2,5,1,30,4
2015,21,67,80500,19428,0.0388,0.2865,0.88,PT01,1,5,2,31,5
2015,21,93,97000,59315,0.04,1.037,0.74,PT01,2,5,2,57,5
2015,47,165,200450,91250,0.0375,1.391,0.68,PT01,2,5,1,32,5
2015,21,15,172000,152420,0.035,2.1437,0.8,PT02,2,5,1,35,5
2015,21,125,108800,101820,0.0375,2.2183,0.8,PT01,2,5,1,34,5
2015,21,27,90000,43812,0.0313,0.9545,0.75,PT01,1,5,1,27,4
2015,21,15,143837,100750,0.0375,1.4169999999999998,0.8,PT01,1,5,2,23,4
2015,21,117,274500,105000,0.0375,1.4768,0.9,PT02,2,5,1,46,5
2015,47,187,264000,84888,0.0375,1.294,0.8,PT02,2,5,1,68,5
2015,21,117,144000,102732,0.0388,1.4449,0.8,PT01,2,5,1,42,4
2015,21,117,50100,18696,0.0375,0.263,0.8,PT01,1,5,1,27,5
2015,21,117,180600,132385,0.0375,1.862,0.65,PT06,2,5,1,60,5
2015,21,117,95200,37827,0.035,0.532,0.8,PT01,1,5,1,29,4
2015,47,189,130000,67000,0.0363,1.0213,0.56,PT01,2,5,1,44,5
2015,21,15,135850,47616,0.0388,0.6697,0.95,PT02,2,5,2,30,5
2015,21,111,200000,94485,0.0363,1.4717,0.63,PT01,2,5,1,46,5
2015,47,187,395000,139984,0.0325,2.1339,0.74,PT01,2,5,1,38,5
2015,47,37,271968,128004,0.0313,1.9513,0.8,PT01,2,5,1,56,4
2015,21,185,416000,355957,0.0363,5.5445,0.8,PT01,2,5,1,41,4
2015,21,37,180000,68932,0.035,0.9695,0.8,PT02,2,5,2,69,5
2015,21,101,183200,97058,0.035,1.5261,0.8,PT01,2,5,1,31,5
2015,21,15,365000,116182,0.0375,1.6341,0.8,PT02,2,7,1,55,4
2015,21,117,79200,38856,0.0363,0.5465,0.8,PT01,2,5,2,29,5
2015,21,67,216000,120000,0.0363,1.7699,0.8,PT01,2,5,1,34,4
2015,21,181,199500,112356,0.0375,2.4478,0.95,PT01,2,5,1,39,5
2015,21,111,135600,70000,0.0375,1.0903,0.8,PT01,1,5,1,27,5
2015,47,157,149000,107136,0.0388,1.7916,0.43,PT01,2,5,1,44,5
2015,21,15,196800,180440,0.035,2.5378,0.8,PT02,2,5,2,31,5
2015,54,41,80000,40037,0.0363,0.85,0.73,PT01,2,5,1,72,5
2015,54,107,127500,75912,0.0388,1.3903,0.63,PT01,1,5,1,33,5
2015,12,69,145000,44616,0.0388,0.8142,0.62,PT01,2,5,2,53,5
2015,47,157,225165,123504,0.0388,2.0653,0.85,PT01,2,2,2,40,3
2015,21,93,269500,106032,0.035,1.8537,0.79,PT01,2,5,1,39,4
2015,21,185,383200,197533,0.0375,3.0768,0.8,PT01,2,7,3,42,4
2015,47,37,336000,181000,0.0375,2.7591,0.8,PT01,2,5,2,36,5
